approval_batch_id	review_domain	required_owner_or_evidence_role	candidate_rows	semantic_review_units	source_documents	blocking_conflict_pointers	suggested_sequence	review_instruction	recheck_disposition	recheck_reason
AP-SIM-HW	simulator	simulator-hardware-owner	42	42	10		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SIM-IF	simulator	simulator-interface-owner	88	85	10		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SIM-PO-01	simulator	simulator-product-owner	120	120	11		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SIM-PO-02	simulator	simulator-product-owner	63	62	6		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SIM-SRC	simulator	source-custodian-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-BO	site-operations	business-owner-and-final-approver	58	58	12		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-DOM	site-operations	domain-owner-and-final-approver	15	15	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-01	site-operations	source-custodian-and-final-approver	120	120	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-02	site-operations	source-custodian-and-final-approver	120	120	6		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-03	site-operations	source-custodian-and-final-approver	120	120	15		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-04	site-operations	source-custodian-and-final-approver	180	107	24		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-05	site-operations	source-custodian-and-final-approver	111	13	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-06	site-operations	source-custodian-and-final-approver	96	6	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-07	site-operations	source-custodian-and-final-approver	179	47	4		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-08	site-operations	source-custodian-and-final-approver	180	88	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-09	site-operations	source-custodian-and-final-approver	180	84	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SITE-SRC-10	site-operations	source-custodian-and-final-approver	141	69	28		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-AGR	slot-hardware-safety	agreement-custodian-and-final-approver	8	8	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-BO	slot-hardware-safety	business-owner-and-final-approver	69	68	13		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-DOM	slot-hardware-safety	domain-owner-and-final-approver	73	73	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SAFE	slot-hardware-safety	hardware-safety-authority-and-final-approver	127	117	57		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-01	slot-hardware-safety	source-custodian-and-final-approver	120	120	7		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-02	slot-hardware-safety	source-custodian-and-final-approver	120	120	5		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-03	slot-hardware-safety	source-custodian-and-final-approver	120	120	7		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-04	slot-hardware-safety	source-custodian-and-final-approver	120	120	6		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-05	slot-hardware-safety	source-custodian-and-final-approver	120	120	6		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-06	slot-hardware-safety	source-custodian-and-final-approver	120	120	11		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-07	slot-hardware-safety	source-custodian-and-final-approver	120	120	21		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-08	slot-hardware-safety	source-custodian-and-final-approver	179	114	42		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-09	slot-hardware-safety	source-custodian-and-final-approver	180	85	27		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-10	slot-hardware-safety	source-custodian-and-final-approver	177	120	47		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-SLOT-SRC-11	slot-hardware-safety	source-custodian-and-final-approver	9	8	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-WF-AGR	workflow-governance	agreement-custodian-and-final-approver	4	4	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-WF-SAFE	workflow-governance	hardware-safety-authority-and-final-approver	15	15	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-WF-SRC	workflow-governance	source-custodian-and-final-approver	34	34	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
