RequirementId	Title	OriginalScope	MvpFinalClassification	ControlServerImpact	OnboardHmiImpact	SharedProtocolImpact	FullProductCluster	ClusterBasis	Batch	Batch0FormNote	PreviousBatch	ChangeProposal
REQ-0082	MesIngestCutoverRun 必须由唯一 CutoverRunId 标识，且全部门禁、证据与删除属…	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0083	删除目标必须同时满足：显式旧库名；不是系统库或新库；匹配预期旧 schema/contract；数据文件位于…	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0084	任一切换门禁失败都禁止删除、保留新旧库、以失败退出且不后台重试。删除失败同样保留可检查状态；再次尝试必须由操…	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0085	删除前在数据库外写不可覆盖的 JSON/Markdown 证据并写 Windows 事件日志，记录实例、旧/…	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0086	旧库删除后没有历史或版本回滚路径，后续故障只在新库与新契约上向前修复。	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0087	运行遥测至少覆盖：SQL Server 配置与进程内存、workspace/grant、Error 701、…	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0088	默认发布门禁固定为：代表性压缩负载下常用 Watch API P95 < 2 秒、P99 < 5 秒；没有 …	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-4 GONE 明细与存储边界	OriginalScope 归 MesIngest GONE/保留/低内存存储	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0089	2026-08-22 的 Host、SQL Server 和已部署程序集状态只是旧诊断事实。实施第一张票必须…	8005 MesIngest 的 GONE 明细、错误历史、原始证据保留、恢复、容量及低内存存储边界	MVP 交互／安全依赖	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0090	乐观并发：Save 接受 expectedFingerprint，Rename 与 Delete 接受 ex…	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0091	跨进程事务锁：目录内的锁文件，所有读写操作都在锁内进行。多实例并发已被覆盖，不新增锁。	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0092	可注入时钟：TimeProvider 已是构造参数，去抖与延迟确认直接用它。	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0093	去抖；同一路径的连续事件在一个短窗口内合并为一次	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0094	删除延迟确认；Deleted 事件不立即视为删除；延迟确认后文件仍不存在才判定为真删除，期间同名文件重新出现…	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0095	改名跟随；Renamed 视为改名而非删除；正在编辑的文件跟随到新名字	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0096	自身写入抑制；落盘时记录路径与指纹，命中的事件丢弃。不做抑制会导致「落盘 → 事件 → 重载 → 光标跳回开…	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0097	伴生文件过滤；只接受扩展名为 TXT 且文件名不以点开头的项。FileSystemWatcher 的扩展名过…	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0098	溢出兜底；订阅 Error 事件；触发时全量重扫目录并重建 watcher	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0099	读取重试；文件可能正被外部写入，读取失败按退避重试若干次后才报错	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0100	线程；事件在线程池线程触发，界面更新前必须切回 UI 线程	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0101	目录失效；目录被删除或改名时停止 watcher 并定时重建，界面显示降级提示	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0102	有；干净；静默重载，保持光标、选区、滚动位置	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0103	有；脏；保留本地输入；落盘时指纹不匹配则提示冲突	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0104	有；内容与缓冲逐字节相同；不动，避免光标无谓跳动	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0105	无；任意；无操作	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0106	文件内容变化——无论来自本页编辑器还是外部程序——永远不自动改变显示范围	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0107	只有应用动作才把解析结果写入快照	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0108	快照不依赖文件存在或合法，进程重启后仍然有效	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0109	漂移判定比较解析后的 AREA 序列而非原始文本，因此仅修改注释或空行不算漂移	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0110	非当前应用；有效；—；应用此配置（主按钮，可点）	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0111	非当前应用；非法；—；应用此配置（禁用）	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0112	当前应用；有效；一致；已应用（禁用）	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0113	当前应用；有效；已漂移；重新应用（主按钮，可点）	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0114	当前应用；非法；已漂移；重新应用（禁用），底部状态条说明原因	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0115	当前应用；文件已删除；—；重新应用（禁用），范围仍生效	8005 MesIngestWatch 的 AreaFilterProfile 编辑、实时同步、冲突与删除后显示范围快照	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-2 AreaFilterProfile 编辑与实时同步	OriginalScope 归 MesIngestWatch AreaFilterProfile	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0116	The accepted information architecture is E. Prototype …	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0117	The Inspector replaces the existing inline DemandSerie…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0118	The main DemandSeries page retains its filters, paging…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0119	The Inspector is a single, unowned, non-Topmost, model…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0120	A coordinator owns Inspector creation, explicit activa…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0121	The DemandSeries detail view consumes an immutable pre…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0122	Stable list selection and detail loading are separate …	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0123	All detail content comes from the same frozen snapshot…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0124	Ordinary DemandSeries navigation opens only the list. …	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0125	The top of the Inspector uses one compact Series conte…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0126	“世代分析”和“事件” are first-level sibling tabs sharing the s…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0127	A vertical, virtualizable generation list is the sole …	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0128	Generation 1 defaults to FIRST_OBSERVED presentation b…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0129	Known reason translations are FIRST_OBSERVED → “首次观察到”…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0130	Unknown or malformed reason payloads produce a neutral…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0131	Formation evidence is a variable ordered collection of…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0132	Production status vocabulary remains authoritative, in…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0133	The event tab renders only real immutable DemandSeries…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0134	Event filtering is local and non-destructive. “相关事件” s…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0135	Boundary MES evidence comes from DemandRawObservationS…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0136	Scalar before/after comparison is allowed only when ea…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0137	The MES field table preserves the native field vocabul…	8005 MesIngestWatch 的 DemandSeries 单实例 Inspector E 信息架构	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-1 Inspector E 信息架构	OriginalScope 归 MesIngestWatch Inspector E	OUT-OF-SCOPE		OUT-OF-SCOPE	
